Placement Group,Impressions,Clicks,Media Cost,Click Signups,View Signups,Total Registrations,month,category
Tribal Fusion CPA_Group,34913930,30186,50680,19,95.94,114.94,8,Prospecting
Turn Predictive Retargeting_Group,9047316,4340,23580.04,0,0,0,8,Prospecting
Undertone Network Takeover,5,0,0,0,0,0,8,Prospecting
Y! Answers ROS_A45+_Geo: CA,82489,62,374.3,128,1269,1397,8,Prospecting
Y! Homepage ROS_ BT Genealogy Geo CA_Merlin Flow,91114,52,433.47,0,0,0,8,Prospecting
Y! Homepage ROS_ BT Genealogy Geo CA_Merlin Flow CA,91085,52,433.42,8,52.02,60.02,8,Prospecting
Y! Homepage ROS_A45+ Geo CA_Merlin Flow,41634,32,178.83,5,16.02,21.02,8,Prospecting
Y! Homepage ROS_A45+ Geo CA_Merlin Flow CA,41904,28,178.97,7,36.18,43.18,8,Prospecting
Y! Mail ROS_A45+,1490413,1554,3238.69,131,882.6,1013.6,8,Prospecting
Y! Network Search Retargeting,1543852,1902,4515.87,23,218.7,241.7,8,Prospecting
Y! News ROS_A45+,112377,75,309.54,92,641.34,733.34,8,Prospecting
